上架日期,申請人數,公司名稱,description,縣市,職稱,工作編號,經度,緯度,major,學歷要求,是否遠距,薪資下限,是否積極徵才,員工人數,搜尋關鍵字,薪資是否為面議,是否要求特定major,八大產業,公司規模,工作經驗,專長工具
20250716,5,大門科技顧問有限公司,"【工作內容】
1、廣告投放與市場數據分析
負責國內外市場之廣告投放管道數據分析，包括資料建模、指標監控、成效追蹤與視覺化儀表板（Dashboard）建置，透過數據為營運與行銷策略提供洞察與優化依據
2、問題診斷與成效優化
深入分析市場數據，發掘投",台北市,【北】Data Analyst – Advertising｜數據分析師－廣告成效（完全遠端）,14741589,25.0792018,121.5427093,[],大學,完全遠距,40000,1,50,數據分析,1,0,資訊科技業,中型,5年以上,"Python, Excel"
20250718,0,富邦媒體科技股份有限公司(富邦momo),"我們正在尋找一位熱愛數據、有商業敏感度的分析師，一起參與數據驅動決策，優化使用者體驗與網站營運的過程，歡迎加入我們共同用數據創造影響力!

工作內容：
1. 協助建立流量、活動驅動成長分析模型。
2. 網站流量數據分析：用戶的渠道來源、進站後的行",台北市,J10000 數據分析師 (EC行銷部),14746520,25.0797968,121.5709573,[],專科,無遠距,40000,1,3000,數據分析,1,0,批發與零售業,大型,2年以上,
20250716,5,俊質生醫股份有限公司,"1.	協助部門進行數據分析、模型建立。
2.	進行數據資料統計、彙整及報表。
3.	數據模型資料編程、撰寫。
4.	主管交辦事項。

加分項目：
1.	C、C#、SQL語法相關使用經驗
2.	資料庫管理或操作使用經驗",台南市,數據分析工程師(南科),14437293,23.0974127,120.2840338,"['電機電子工程相關', '資訊工程相關']",大學,無遠距,38000,0,20,數據分析,0,1,醫療與健康照護,小型,不拘,
20250716,10,艾捷科技有限公司,"我們正在尋找身懷絕技的【數據分析師】加入我們的團隊

你的任務：

    解讀數據，預測數據的健康狀況。
    將數據轉化為視覺化洞見和可執行方案。
    資料探勘，驅動決策。

加分：熟悉 Data Warehouse、大數據、雲端 (",台中市,數據分析師,14437328,24.148053,120.6456065,"['數學及電算機科學學科類', '工程學科類']",大學,無遠距,40000,0,,數據分析,1,1,資訊科技業,未知,1年以上,"Git, Python, MySQL, RDBMS, AWS, Google Analytics"
20250710,11,瑞盈軟體有限公司,"1. 支援產品團隊進行數據分析，協助制定關鍵績效指標（KPI）並建立追蹤與監控機制。
2. 獨立規劃與執行 A/B 測試及灰階實驗，進行數據設計與成效評估，產出具洞見的分析報告，作為產品優化依據。
3. 持續追蹤功能上線後的使用狀況，分析使用者行",台中市,數據分析師,14696882,24.1587799,120.6402821,[],專科,混和,40000,0,,數據分析,1,0,資訊科技業,未知,2年以上,"Tableau, PostgreSQL, Google Analytics"
20250717,1,三清國際投資管理顧問股份有限公司,"1.受理匯款業務。
2.收取匯款相關費用。
3.輸入相關資料以提供電腦中心進行彙整與後續處理。
4.核對入戶匯款帳戶、戶名。
5.解付款項至指定帳戶。",桃園市,數據分析交易員,14744660,24.9980051,121.3152861,[],不拘,無遠距,50000,0,,數據分析,0,0,金融與保險業,未知,不拘,
20250625,8,布魯斯人事顧問有限公司,"- 3年以上工作經驗、相關科系優先考慮
- 建置和維護公司的大數據系統和數據管道 
- 開發和維護 ETL 流程 
- 維護 Elasticsearch 資料系統 
- 監控數據流程和數據質量 
- 了解架構瓶頸並優化架構",台北市,【Hybrid】Data Enginner 數據工程師,14709172,25.0409201,121.5720055,[],大學,混和,108333,1,,數據工程,0,0,服務與專業顧問業,未知,3年以上,"Python, Go, MySQL"
20250717,6,國泰世華商業銀行股份有限公司,"經驗，持續在東南亞市場打造高品質、創新的數位金融服務體驗。

「國際消金發展部」集結了金融及非金融領域的多元菁英，包括商業開發、網路科技、數據分析、數位行銷等專業人才。我們重視團隊合作文化，以實現東南亞金融生態圈為目標，深入了解世界各國金融服務文化",台北市,"【海外通路】國際消金數據分析師（數數發中心, DDT）_I00013832",13797285,25.0409201,121.5720055,[],不拘,無遠距,40000,1,10000,數據分析,1,0,金融與保險業,大型,1年以上,
20250718,1,殷富資訊股份有限公司,"▍工作內容： 
1. 設計並開發數據處理工具與自動化流程，提升數據分析效率。 
2. 結合數據分析與技術開發能力，建立金融數據儲存和分析數據架構。
3. 分析與處理大量金融相關數據，規劃生成式AI平台的模型訓練與優化。 
4. 與產品、數據科學及",台北市,EIS| 數據分析師(金融),14021920,25.0533985,121.5482842,[],專科,無遠距,40000,0,95,數據分析,1,0,資訊科技業,中型,3年以上,"Microsoft Azure, AWS"
20250716,6,詠翔股份有限公司,"此職位需要和美國各處的銷售點保有良性的溝通, 並且能夠時時刻刻了解當地的銷售量及庫存狀況, 安排至之職位如下:
1. 時時刻刻掌握美國六個倉庫的庫存狀況, 並提出採購建議
2. 假設有特定商品忽然大量出貨, 能即時提出警示, 並協調調或下單
3. 了解美國端採購的習性, 並作為台美兩公司的協調窗口
4. 熟悉Excel 的使用, 並且能夠製作分析報表
5. 對數字有一定程度的敏感度, 能主動發現問題
                                 ",新北市,庫存管理及數據分析師,14509493,25.0607173,121.4540566,[],大學,無遠距,40000,0,35,數據分析,0,0,批發與零售業,小型,不拘,Excel
20250718,9,國泰綜合證券股份有限公司,"【工作內容】
1. 透過數據分析深入了解客戶需求和業務痛點，提供數據洞察建議，並與行銷、平台和業務單位合作，提出解決方案並追蹤成效。
2. 建立Google Analytics各項業務追蹤指標概覽，協助需求單位追蹤業務狀況。
3. 協助需求單位接",台北市,Google Analytics商業分析師(數據分析部)_I00017991,14239761,25.0219942,121.5491994,[],大學,無遠距,40000,1,1100,數據分析,1,0,金融與保險業,大型,1年以上,"Python, R, MS SQL, Google Analytics"
20250714,9,綠界大數據應用科技股份有限公司,"綠界大數據 是台灣專精於商業領域的電商顧問，不僅是廣告投放，我們提供客戶更全方位的商業諮詢和電商行銷漏斗優化建議；未來更會結合市場的數據資訊，給予客戶更全面的商業和行銷策略與建議。

我們希望尋找對電商、數位廣告、數據分析有興趣的你，協助台灣各大",台北市,數位行銷數據分析師,14486934,25.0562844,121.5921764,[],高中,無遠距,40000,0,25,數據分析,0,0,服務與專業顧問業,小型,不拘,"SEO, Google關鍵字廣告, Power BI​, Google Data Studio, Google Trend, Google Tag Manager, Google Analytics, ChatGPT"
20250703,6,聯合報股份有限公司,"在 2025 年由世界新聞出版協會（WAN-IFRA）於波蘭舉辦的全球數位媒體大獎中，聯合報系榮獲 「最佳 AI 營收策略應用」全球金獎，展現我們以數據與 AI 推動商業創新的實力。產品分析中心正是該專案的核心團隊，誠摯邀請具備數據思維與技術實力的你加入我們，一起打造下一個突破性的資料應用成就。

1.	能處理大量資料，統整交易、行為、數位廣告與調查數據，結合公開資料深入分析，轉化為具體行銷策略與營收成長機會。
2.	擅長撰寫分析報告與簡報製作，能條理清晰地呈現資料觀察與決策建議。
3.	能清楚傳達分析成果並整合意見，能針對不同對象清楚傳達分析內容，並有效整合需求、推進合作任務。
4.	理解資料工程邏輯與流程設計，能支援 ETL 撰寫、資料清理與跨系統欄位整併。
5.	具備良好任務執行力，能依主管指派完成專案並如期交付成果。

【必要條件】 
1.	熟悉 SQL 與 Python，具備處理大型資料與多維分析的能力。
2.	具備 GCP 雲端平台使用經驗，了解資料查詢、儲存與權限管理等基本操作。

【加分條件】 
1.	熟悉 Vertex AI 或其他大型語言模型（LLM）應用。
2.	具備數位廣告運作與成效分析邏輯與廣告指標判讀能力。

",新北市,【數據發展部】數據分析師,13232984,25.0612913,121.6406987,"['商業及管理學科類', '數學及電算機科學學科類', '工程學科類']",大學,無遠距,40000,1,2295,數據分析,1,1,服務與專業顧問業,大型,2年以上,"Python, MS SQL, Excel, PowerPoint, Github, ANSI SQL"
20250515,1,龍德造船工業股份有限公司,"1. 數據分析與報告： 
收集並分析生產數據，編制週/月報告，向上級主管彙報生產狀況，提出問題和建議。

2. 生產計畫管理： 
負責制定和執行月度、週度、日常生產計畫，確保各項生產任務依時完成，並達到預期品質與數量目標。

5. 協調與溝通：",宜蘭縣,數據分析員-生產管理,14643915,24.5916012,121.863377,[],大學,無遠距,38000,0,750,數據分析,0,0,製造業,大型,不拘,"Excel, Word"
20250716,2,聖宜醫美集團_聖宜診所,"活動(銷售激勵活動)、銷售目標設定(特定品項銷售稽核、達成情況)
√ 服務品質管理
√ 其他主管交辦事項

【我們希望您擁有的...】
☆ 熟悉數據分析，擅長Excel (數據統整，樞紐..)，PTT
☆ 了解CRM系統及分析解讀CRM 數字
☆",桃園市,【行銷處】數據分析主管-中壢,14399629,24.960995,121.2228507,"['數理統計相關', '應用數學相關', '市場行銷相關']",大學,無遠距,40000,0,380,數據分析,1,1,醫療與健康照護,大型,1年以上,"MS SQL, Excel, Tableau, Power BI​"
20250715,8,馬光醫療網_馬光中醫診所,"工作內容
*分析內部營運相關數據，製作營運儀表板，提供決策依據
*針對經營議題（如選址、服務優化..等）提出數據建議
*跨部門協作專案分析（行銷活動、會員經營、顧客回診等）
*支援管理團隊進行專案追蹤、經營報告與策略會議簡報彙整",高雄市,策略數據分析師｜產業洞察×跨部門數據整合,14685273,22.6247228,120.3612662,"['企業管理相關', '資訊管理相關', '其他數學及電算機科學相關']",專科,無遠距,40000,1,700,數據分析,1,1,醫療與健康照護,大型,2年以上,"PyTorch, Excel, Looker studio, Tableau"
20250714,6,東方線上消費者研究集團_東方快線網絡市調行銷股份有限公司,"我們藉由市調搭建出品牌與消費者間互動的橋樑，賦予資料價值，為數據發聲，若您對數據分析或市場研究有興趣，歡迎加入東方快線的大家庭，一起挖資料，追數據。

【 完整的職涯規劃 】
數據分析為現今世代最主流的顯學之一，應用範圍涵蓋各行各業，無論未來對商",台北市,消費者數據分析/商業洞察研究員【公司擴編】,4441254,25.0329619,121.5549091,[],大學,無遠距,35000,0,20,數據分析,0,0,服務與專業顧問業,小型,不拘,"Excel, PowerPoint, Word, SPSS"
20250717,10,鑫鼎鑽科技有限公司,"工作內容
■【主要職責】
BI數據儀表板設計及開發 。
負責營運、遊戲、業務相關的數據分析工作，包含資料蒐集、處理、分析及建模。
協助團隊進行數據探索、訂定關鍵指標，為產品方向和策略提供數據支持，並提出具可行性的建議。
監控各類營運數據及成效數據",台北市,商業數據分析師,14732700,25.0312347,121.6111949,[],高中,混和,45000,1,115,數據分析,0,0,資訊科技業,中型,1年以上,
20250715,3,工研院 _財團法人工業技術研究院,"工作內容
模擬數據處理、資料庫分析與預測模型生成 
1.機器學習與預測模型建立：有相關實戰經驗，例如支持向量機、神經網路等
2.數據分析策略與框架建構：例如熟悉數據挖掘流程（CRISP-DM）或其他分析框架。
3.與CAE工程師合作，應用CAE模",新竹縣,工研院機械所-電動車數據分析工程師(D400),14491156,24.774192,121.0479168,"['電機電子工程相關', '機械工程相關']",碩士,無遠距,40000,1,6000,數據分析,1,1,服務與專業顧問業,大型,不拘,"Matlab, Python, R, PyTorch, tensorflow, Tableau, Power BI​"
20250716,4,國?租賃股份有限公司,"1.進行資料收集、標籤定義與數據清理。
2.進行調查數據的彙整，分析調查數據與繪製統計圖表，並撰寫分析建議報告。
3.依據分析需求，進行資料數據分析與邏輯運算作業。
4.分析企業統計數據。
5.數據視覺化報表產出，製作相關簡報。
6.有效利用分析",台北市,【數位行銷】數據分析師,14116487,25.0425567,121.5121094,[],大學,無遠距,40000,0,100,數據分析,1,0,金融與保險業,中型,3年以上,"Python, R, Access, PL/SQL, Excel, PowerPoint, Word, Tableau, Google Analytics, Power BI​"
20250521,12,百阜科技股份有限公司,"■ 彙整遊戲數據報表並將資料視覺化，以協助相關人員了解產品狀況。
■ 建立分析指標，追蹤並記錄數據，提出方案以優化現有產品。
■ 學習遊戲及數值設計，提高與相關人員溝通的效率，以及提高優化方案的精度。


",台北市,數據分析師,12001481,25.0745549,121.5764771,[],專科,無遠距,40000,0,80,數據分析,1,0,資訊科技業,中型,不拘,
20250703,0,聯合報股份有限公司,"力，並挖掘出更具價值的數據洞察。包含新聞議題分析、多媒體內容（如影音、Podcast）的深入數據分析與執行，並執行績效追蹤檢核、專案進度回報、跨部門協作（包括教育訓練和會議）等。

3.	創新型數據應用開發：
利用創新的數據分析技術（如",新北市,【數據發展部】數據分析師 (內容開發與經營分析),12883640,25.0612913,121.6406987,"['商業及管理學科類', '數學及電算機科學學科類', '經濟社會及心理學科類']",大學,無遠距,40000,0,2295,數據分析,1,1,服務與專業顧問業,大型,1年以上,"Python, VBA, MS SQL, Excel, PowerPoint, Google Analytics, Looker studio"
20250714,6,全國電子股份有限公司,"擔任數據平台的資料處理及報表開發工作，透過BI工具重新改寫既有的系統報表及資料處理流程，以提升報表產製的效率及系統資源。

【工作內容】
01. 負責數據分析和報表開發工作。
02. 編寫ETL流程，進行資料清洗、分析、可視化和報表生成等任務。",新北市,總公司-IT部門/數據分析及報表開發工程師,14010560,25.0685188,121.4460643,[],大學,無遠距,40000,1,1700,數據分析,1,0,批發與零售業,大型,2年以上,"PHP, Python, MySQL, Tableau"
20250715,11,英屬維京群島商大昇有限公司台灣分公司,"1.進行調查數據的彙整，分析調查數據與繪製統計圖表，並撰寫分析建議報告。
2.依據分析需求，進行資料數據分析與邏輯運算作業。
3.分析企業統計數據（如：營業額、銷售量、客戶數、成本數據等，預測與追蹤市場和銷售的趨勢）。
4.數據視覺化報表產",台中市,IT大數據分析師,13984719,24.1613688,120.6633901,"['資訊管理相關', '企業管理相關', '資訊工程相關']",大學,無遠距,40000,0,200,數據分析,1,1,批發與零售業,大型,1年以上,"C#, 鼎新, SAP, Oracle ERP, Power BI​, Tableau, JavaScript, HTML, Oracle, Python, PHP, Java, ASP.NET, Git, Github"
20250714,1,衡昱電商股份有限公司,"1.集團內部數據蒐集。
2.數據分析與報表製作。
3.PPT簡報、資料視覺化。
4.跨部門溝通協調。
5.具專案全程管理能力。
6.數據分析與SEO優化，檢查商品標題、描述、關鍵字，進行SEO優化，提高搜尋排名與點擊率。
7.促銷活動與會員經營，",台中市,LINE粉絲管理師及數據分析管理師,14614481,24.165172,120.6767165,[],大學,無遠距,34000,0,80,數據分析,0,0,批發與零售業,中型,3年以上,"Excel, Word, Outlook, Tableau, Power BI​, Line, SEO"
20250718,3,立達國際電子股份有限公司,"職位類別A - 電商運營數據分析師
1. 對店商高成長有熱忱
2. 對店商實務超作有耐心
3. 有資料處理分析能力
4. 能判斷廣告投放對銷量產生之效益
5. 針對產業對手價格分析，做出動態價格回應

",宜蘭縣,電商事業部（宜科）- 數據分析,13672565,24.732427,121.7539751,"['資訊工程相關', '資訊管理相關', '其他數學及電算機科學相關']",大學,無遠距,35000,0,100,數據分析,0,1,製造業,中型,3年以上,鼎新
20250718,8,福盈科技化學股份有限公司,"1. 研究數據來源，分析結構、非結構化數據資料、建構分析方法，向管理層提出數據洞察  
    並?整趨勢。
2. 透過相關產業資料庫，進行資料分析與市場趨勢洞察。
3. 接收管理階層的即時反饋，彈性調整相關報表。     
4. 預測市場商機、風險或行為屬性，協助達成商業決策或提升效率。
5. 協助追蹤市場競爭狀況並解讀主要數字、實驗設計與成效分析。
6. 與IT團隊合作維護資料庫和導入分析工具，例如檢視數據品質、生成數據報告，以及維
    護數據資產。",台北市,資深商業數據分析師,14690776,25.0514038,121.5553532,"['統計學相關', '資訊管理相關', '資訊工程相關']",專科,無遠距,40000,1,130,數據分析,1,1,製造業,中型,3年以上,"Excel, Word, Tableau"
20250717,4,弈樂科技股份有限公司,"***應徵時請附上作品集、文案、自傳、證照等加分文件***
1.	需求分析及規劃資料萃取、資料清理 
2.	數據分析、資訊視覺化、說明分析結果、提出建議及後續成效評估 
3.	蒐集競業資訊、報表整理

※工作待遇依個人經歷及專長等條件參考核定，如",台中市,數據分析師(碩士),12841689,24.1743319,120.6236257,"['數理統計相關', '統計學相關', '資訊管理相關']",碩士,無遠距,44000,1,242,數據分析,0,1,資訊科技業,大型,不拘,"C, C#, C++, Java, Matlab, Python, R, Excel, PowerPoint"
20250704,9,世銳顧問有限公司,"的專員應對客戶面臨的最先進且困難的問題，這些問題直接推動淨利成長，能夠創造巨大價值，包括：

‧	創建有效傳遞關鍵訊息的溝通材料
‧	設計數據和概念的視覺化，大大提高觀眾參與和理解
‧	進行臨床試驗數據分析和設計
‧	編寫具有新穎分析和具說服力的視",台北市,數據分析／數據視覺化專員,13814767,25.0533725,121.5228523,[],高中,無遠距,35000,0,20,數據分析,0,0,服務與專業顧問業,小型,不拘,"Excel, PowerPoint, Word"
20250714,14,台灣大哥大股份有限公司,"1.資料分析與建模
  進行網路品質數據分析，建置監控與預測模型，洞察潛在問題與品質異常趨勢，提供決策依據。
2.資料處理與檢核
  負責原始資料的整合、轉換與清洗，必要時進行現場驗證，確保分析結果與實際狀況一致。
3.配合(跨單位)專案執行",台北市,網路品質數據分析人員,14704351,25.0409201,121.5720055,[],不拘,混和,34000,0,4500,數據分析,0,0,資訊科技業,大型,2年以上,"Python, MS SQL"
20250711,8,健豪印刷事業股份有限公司,"1.進行資料收集、標籤定義與數據清理。
2.進行調查數據的彙整，分析調查數據與繪製統計圖表，並撰寫分析建議報告。
3.規劃並執行各類專案(如：銷售比、業績比…等)。
4.依據分析需求，進行資料數據分析與邏輯運算作業。
5.分析企業統計數據(如：營",台中市,台中精科廠-數據分析人員,13807348,24.1489228,120.6013755,"['統計學相關', '數理統計相關', '應用數學相關']",大學,無遠距,40000,1,650,數據分析,1,1,服務與專業顧問業,大型,不拘,
20250714,4,AVIS艾維士租車_安維斯汽車租賃股份有限公司,"程文件，採BPMN 2.0規格，並準備培訓材料。
數據分析：推動數據分析工具的使用，協助數據清理及分析建模，清晰展現數據樣貌，減少數據處理時間50%。
專案推動：負責團隊協作，推動流程數位化及優化專案，積極尋找創新技術和工具來優化流程。
自動化：協",新竹縣,[集團] 流程優化與數據分析專員 (新竹),14413862,24.8342691,121.0049418,"['資訊工程相關', '其他數學及電算機科學相關', '資訊管理相關']",大學,無遠距,40000,0,130,數據分析,1,1,運輸與物流業,中型,3年以上,"Python, Excel, Visio, Tableau, Power BI​"
20250715,14,微風廣場實業股份有限公司,"1.依需求產製各式數據分析報表。
2.協同軟體開發團隊維護Microsoft D365/Power BI。
3.協同軟體開發團隊導入各式數據工具，以彙整線上線下數據。
4.依各式軟體開發專案之內容提供數據落地之建議，並追蹤落實。
",台北市,微風數位時代-數據分析師,14211111,25.0405444,121.5667909,[],大學,無遠距,40000,0,1000,數據分析,1,0,批發與零售業,大型,2年以上,"ANSI SQL, Google Analytics, Google Data Studio, Power BI​"
20250626,11,湛衡有限公司(籌備處),"1. 分析客戶平台營運數據，包括：使用者行為、活躍度、資金流動（如入/出帳）、轉換率與留存率等
2. 與行銷、業務等部門協作，協助活動預算規劃與實際成本分析（如促銷方案、獎勵制度等）
3. 建立並維護活動成效追蹤模型（如 ROI、CPA、ARPU），定期提供優化建議
4. 開發並更新營運KPI儀表板，協助監控業務關鍵指標（如DAU、LTV、轉化率等）
5. 提供跨部門數據支持，協助推動用戶成長與業務改善
6. 定期產出管理層分析報告，協助策略擬定與營運優化
7. 協助開發自動化報表工具，提升數據處理與分析效率
",台北市,資深數據分析師/ Sr. Data Analyst,14711902,25.0462169,121.516881,[],高中,完全遠距,60000,0,10,數據分析,0,0,資訊科技業,小型,3年以上,"Tableau, MySQL, Python, Power BI​, Looker studio, Excel"
20250718,5,新揚科技股份有限公司,"一、蒐集與整理製程資料
二、分析數據與製作監測資料或報告
三、依據數據提出改善及異常處理建議
四、推動製程改善計畫落實
五、主管交辦事項",高雄市,製程數據分析專員,14677642,22.8295734,120.2596476,"['機械工程相關', '電機電子工程相關', '化學工程相關']",專科,無遠距,38000,0,230,數據分析,0,1,製造業,大型,不拘,
20250714,9,AVIS艾維士租車_安維斯汽車租賃股份有限公司,"程文件，採BPMN 2.0規格，並準備培訓材料。
數據分析：推動數據分析工具的使用，協助數據清理及分析建模，清晰展現數據樣貌，減少數據處理時間50%。
專案推動：負責團隊協作，推動流程數位化及優化專案，積極尋找創新技術和工具來優化流程。
自動化：協",新北市,[集團] 流程優化與數據分析專員,14409058,25.0596932,121.4712292,"['資訊工程相關', '其他數學及電算機科學相關', '資訊管理相關']",大學,無遠距,40000,0,130,數據分析,1,1,運輸與物流業,中型,3年以上,"Python, Excel, Visio, Tableau, Power BI​"
20250704,12,露天市集國際資訊股份有限公司,"我們正在尋找的人
●	你將是 BD 團隊背後的數據推手，不僅是數據的解讀者，更是商業行動的驅動者，協助團隊從數字中看見機會並快速變化的市場中做出更快、更準的選擇。
●	擁有商業敏銳度與分析能力的數據分析師，能夠串接平台內外部資訊，支持業務開發、合",台北市,商業數據分析師,14699648,25.0284379,121.5491753,[],不拘,無遠距,40000,1,200,數據分析,1,0,資訊科技業,大型,3年以上,"Python, Tableau"
20250625,11,資拓宏宇國際股份有限公司,"數據分析、公共衛生、社會福利

【其他加分項】
＊個人特質
1. 具有團隊合作的精神與樂於溝通的意願
2. 具有解決問題有不放棄的毅力
3. 具抗壓性，且願意承擔各種任務挑戰
4. 積極學習新知，樂於與團隊成員分享

＊經歷
1. 具備政府機關專案執",台北市,數據分析師(衛生醫療or社會福利相關)-醫療領域（MCD30）,14641465,25.0627243,121.5113064,"['公共衛生相關', '統計學相關']",大學,無遠距,40000,0,1600,數據分析,0,1,資訊科技業,大型,1年以上,
20250715,9,神腦國際子公司_神揚保險代理人股份有限公司,"1.數據蒐集分析與清理數據及資料維護。
2.支援產品團隊進行數據分析，追蹤關鍵績效指標（KPI）並建立監控機制。
3. 撰寫分析報告，提出具體數據建議，協助產品團隊進行決策與版本規劃。
4.與業務單位合作,依業務單位需求產出報表。
5.協助開發集",新北市,數據分析專員,14708163,24.9856978,121.5334935,"['銀行保險相關', '統計學相關']",大學,無遠距,40000,1,34,數據分析,1,1,金融與保險業,小型,2年以上,"Excel, PowerPoint, Word, 中文打字20~50"
20250714,6,(總公司)南山人壽保險股份有限公司,"●運用數據分析結果提供部門訂定業務策略
●分析高產能AG及客群市場行為模式及產能貢獻，制定業務推動策略
●編製部門管理報表及績效數據以掌握部門相關業務成效
●部門數位工具支援、系統需求提案及數位專案測試與管理
●其他主管交辦之專案執行及研究報告",台北市,專案暨數據分析人員,14609620,25.0317437,121.5611273,"['商業及管理學科類', '統計學相關']",大學,無遠距,40000,0,4000,數據分析,0,1,金融與保險業,大型,2年以上,"Excel, Outlook, PowerPoint, Word"
